prey,Base_diUb,Vec_diUb,diUb1,Enr_diUb,sEnr_diUb,p_Bind_diUb
Tmem254b,231.2,0.3,0,-2.97,-6.42,0.011
Greb1l,27.2,0.1,0,-1.1,-5.99,0.011
Vcam1,415.7,788,26.4,-4.9,-4.81,0.011
Timm17a,107.9,0.1,0,-1.23,-6.11,0.011
Ifi35,30.8,0.5,0,-3.34,-6.23,0.011
Pdzrn3,32.7,0.1,0,-1.72,-6.06,0.011
Sav1,25.4,1.6,0.1,-4.05,-5.19,0.011
Lynx1,37.4,0.1,0,-1.8,-6.02,0.011
Lama4,119.3,0.2,0,-2.53,-6.22,0.011
Efr3b,101,0.2,0,-2.21,-6.19,0.011
S100b,85.7,0.2,0,-2.27,-6.09,0.011
Insr,230.8,4.8,0.2,-4.26,-4.87,0.011
H60c,3.5,0.1,0,-1.72,-5.99,0.011
Tpgs2,112.1,0.6,0,-3.78,-6.31,0.011
Bnip2,103.7,1.3,0.1,-3.72,-5.23,0.011
Rassf6,22.7,1.1,0,-4.58,-6.36,0.011
Rps3,100.8,1.2,0.1,-3.64,-5.12,0.011
Dhx40,155.9,297.6,0,-12.54,-7.24,0.011
Ltf,107.2,0.1,0,-1.8,-6.11,0.011
2900011O08Rik,59.3,37.8,0,-9.56,-7.02,0.011
Atp2b2,87.2,0.3,0,-2.97,-6.2,0.011
Rbms1,114.1,90,0,-10.81,-7.17,0.011
Heatr3,68.2,0.3,0,-2.97,-6.34,0.011
Snx5,254.7,695.6,0,-13.76,-7.34,0.011
Tsc22d1,37.7,1228.1,0,-14.58,-7.32,0.011
Trappc10,15.1,0.6,0,-3.64,-6.24,0.011
Hmgcr,87.1,473,0,-13.21,-7.47,0.011
Zrsr1,60.4,0.3,0,-2.79,-6.19,0.011
Spata9,439.7,0.5,0,-3.37,-6.38,0.011
Hspa1a,11.7,0.9,0,-4.18,-6.29,0.011
Clasp1,7.4,0.5,0,-3.34,-6.22,0.011
Med9,30.8,0.3,0,-2.67,-6.12,0.011
Uqcrb,30.8,0.3,0,-2.75,-6.21,0.011
Prkaa1,98.3,0.3,0,-2.95,-6.27,0.011
Ddx50,128.8,0.2,0,-2.21,-6.24,0.01
Polq,5.7,481.5,0,-13.23,-7.34,0.01
Mbd3l1,153,0.2,0,-2.33,-6.09,0.01
Sp100,51.5,0.1,0,-1.1,-6.05,0.01
Gga3,77.3,40.2,0,-9.65,-6.95,0.01
Cep128,99.5,0.5,0,-3.34,-6.33,0.01
Tmem65,133.4,1.7,0,-5.16,-6.47,0.01
Actn1,8.1,0.5,0,-3.56,-6.16,0.01
Ccdc32,21.9,0.1,0,-1.1,-6.04,0.01
Fam219b,21.2,0.2,0,-2.53,-6.19,0.01
Spopl,21,2,0,-5.36,-6.47,0.01
Ncoa4,388.8,381.9,0,-12.9,-7.32,0.01
Rwdd2b,33.4,0.9,0,-4.21,-6.3,0.01
Ncbp1,157.4,0.2,0,-2.53,-6.27,0.01
Pmpcb,173.7,0.3,0,-2.63,-6.25,0.01
Hspa12a,113.5,0.2,0,-2.53,-6.21,0.01
Hnf4a,274.6,599.9,0,-13.55,-7.21,0.01
Atl1,134.9,0.2,0,-2.21,-6.26,0.01
Grik2,19.5,0.2,0,-2.15,-6.18,0.01
Fam71f2,185.9,40.3,0,-9.66,-7.11,0.01
Sult1c2,467.2,0.9,0.1,-3.29,-5.21,0.01
Itga8,158.3,1,0,-4.44,-6.48,0.01
Tef,185.7,1156.1,0,-14.5,-7.41,0.01
Zfp422,167.9,0.2,0,-2.15,-6.12,0.01
Echdc2,5.4,0.2,0,-2.15,-6.02,0.01
Fank1,83.5,0.2,0,-2.48,-6.17,0.01
Nfyb,135.5,1502.3,0,-14.87,-7.44,0.01
Deptor,124.4,1098,0,-14.42,-7.44,0.01
Acsl1,143.3,0.2,0,-2.53,-6.22,0.01
Mtx3,77.1,1186.4,0,-14.53,-7.32,0.01
Daf2,194,0.8,0.1,-3,-5.06,0.01
1700018F24Rik,194.5,1,0.1,-3.46,-5.12,0.01
Mknk1,16.8,0.4,0,-3.17,-6.19,0.01
Rfx7,81.6,2.5,0.1,-4.06,-4.99,0.01
Taf9,436.8,0.1,0,-1.23,-6.2,0.01
Mtf2,135.5,2.2,0.1,-4.51,-5.33,0.01
Rac2,23.8,0.2,0,-2.48,-6.15,0.01
Rabggtb,333.4,0.2,0,-2.53,-6.32,0.01
Med6,130.3,4.5,0.1,-4.91,-5.27,0.01
Gm10094,13.6,1.8,0,-5.19,-6.45,0.01
Kif14,2,0.6,0,-3.64,-6.21,0.01
Gm6890,0.7,0.3,0,-2.95,-6.35,0.01
Tcp10b,218.9,0.2,0,-2.15,-6.24,0.01
Sdhd,54.2,1.1,0,-4.51,-6.33,0.01
Nr1h4,127.9,0.2,0,-2.27,-6.18,0.01
Parp8,40.5,1.5,0.1,-3.93,-5.12,0.01
Slc10a2,32.9,0.1,0,-1.8,-6.14,0.01
LOC100861615,40.7,0.4,0,-3.01,-6.12,0.01
Tmem29,157.8,0.1,0,-1.8,-6.12,0.01
Entpd4,134.3,1.7,0.1,-4.15,-5.35,0.01
Mrpl37,58.5,0.1,0,-1.8,-6.12,0.01
Gtpbp4,136.5,165.1,0,-11.69,-7.19,0.01
Btf3l4,304.1,0.3,0,-2.91,-6.29,0.01
Kdr,24,0.6,0,-3.71,-6.22,0.01
Tbc1d23,378.3,0.4,0,-3.01,-6.34,0.01
Igdcc4,42.9,0.1,0,-1.72,-6.02,0.01
Rbak,1.2,0.2,0,-2.48,-6.26,0.01
Mrpl20,10,1.2,0,-4.66,-6.33,0.01
Psat1,153.8,0.2,0,-2.21,-6.24,0.01
Hsbp1,159.5,1.2,0,-4.59,-6.45,0.01
BC023829,41.8,0.1,0,-1.72,-6.07,0.01
Nkap,16.8,8848.4,0,-17.43,-7.49,0.01
Banf1,10.1,1.2,0,-4.66,-6.25,0.01
1700010B08Rik,93,0.2,0,-2.48,-6.13,0.01
Msh3,62,0.4,0,-3.15,-6.2,0.01
Fam107b,232.6,2.5,0.1,-4.08,-5.07,0.01
Rnase4,226.6,0.3,0,-2.79,-6.24,0.01
Cd247,42.1,2.6,0.1,-4.13,-4.91,0.01
Gbp3,93.2,3.5,0,-6.17,-6.68,0.01
Ap1m1,5.7,796.2,0,-13.96,-7.33,0.01
Scgb3a2,42.1,0.2,0,-2.27,-6.06,0.01
Rab38,7.8,0.3,0,-2.97,-6.13,0.01
Ttr,52.8,97.5,0,-10.93,-7.14,0.01
Cbfa2t2,110.8,0.4,0,-3.2,-6.25,0.01
Cnot8,158.7,0.2,0,-2.58,-6.28,0.01
Tapbp,25.7,118.1,0,-11.21,-7.2,0.01
Txnl1,149.9,137.9,0,-11.43,-7.18,0.01
Tet2,7.3,0.5,0,-3.34,-6.27,0.01
Nmnat2,59.3,0.1,0,-1.23,-6.12,0.01
Ufl1,88.6,22.2,0,-8.8,-6.88,0.01
Htra1,122,895.2,0,-14.13,-7.39,0.01
Pik3r6,2.6,276.3,0,-12.43,-7.24,0.01
Tia1,147.7,1,0,-4.44,-6.43,0.01
Igfbp5,271.7,0.5,0,-3.52,-6.4,0.01
Thap2,5.2,0.3,0,-2.75,-6.17,0.01
Fbxw27,22.8,0.1,0,-1.72,-6.1,0.01
Cftr,80.3,0.1,0,-1.8,-6.09,0.01
Ddhd2,25.8,0.1,0,-1.1,-6.14,0.01
Nupl1,62,1.8,0.1,-4.23,-5.4,0.01
Slco6c1,111.1,0.2,0,-2.21,-6.13,0.01
Pdcd6,90.3,133.4,0,-11.38,-7.18,0.01
Efemp1,118.8,284.5,0,-12.47,-7.28,0.01
Ptplb,120.1,0.1,0,-1.23,-6.08,0.01
Fam136a,71.4,127.2,0,-11.31,-7.23,0.01
Frem1,26.6,3.3,0.1,-4.48,-5.02,0.01
Magee1,143.6,3.8,0.1,-4.69,-5.18,0.01
Abca5,100,6.4,0.3,-4.43,-4.82,0.01
Dcaf8,47.4,151.1,0,-11.56,-7.2,0.01
Arhgef3,30.8,0.8,0,-4.01,-6.38,0.01
Gabrb2,153,413.5,0,-13.01,-7.29,0.01
Rnf17,59,0.2,0,-2.21,-6.14,0.01
4933402J07Rik,117.9,2.3,0.1,-4.56,-5.42,0.01
Adhfe1,229.3,1061.4,0,-14.37,-7.24,0.01
Clec3a,2.6,0.6,0,-3.64,-6.16,0.01
Eltd1,112.9,1.9,0.1,-4.27,-5.35,0.01
Hnrnpk,229.2,1,0.1,-3.4,-5.13,0.01
Ppbp,185.8,0.3,0,-2.79,-6.23,0.01
Snx2,227.8,0.3,0,-2.79,-6.17,0.01
Tceb3,111,0.2,0,-2.21,-6.17,0.01
Elac2,4.1,1,0,-4.35,-6.33,0.01
Slc36a1,11.1,0.2,0,-2.15,-6.03,0.01
Zfp583,19.9,0.6,0,-3.64,-6.31,0.01
Sec23b,91.1,0.1,0,-1.8,-6.19,0.01
Aldh5a1,105.4,1.4,0.1,-3.9,-5.18,0.01
Tnik,81.6,0.1,0,-1.23,-6.01,0.01
Serpina1c,68.9,0.2,0,-2.48,-6.17,0.01
Zfp239,14.9,0.1,0,-1.72,-6.09,0.01
Galk2,51.7,2.5,0,-5.69,-6.53,0.01
Ttc30a2,89.1,0.2,0,-2.53,-6.28,0.01
Pfn2,599.2,3.5,0.2,-3.84,-4.87,0.01
Agbl3,43.9,0.3,0,-2.97,-6.25,0.01
Usp2,70.3,0.2,0,-2.21,-6.19,0.01
Smim3,28.6,0.3,0,-2.95,-6.17,0.01
Nipa2,156.2,279.4,0,-12.45,-7.27,0.01
Hsp90aa1,324.3,0.2,0,-2.53,-6.21,0.01
Smek1,90.2,1.2,0,-4.66,-6.37,0.01
Gpc6,45.6,1,0,-4.35,-6.32,0.01
Aif1,226.3,3.3,0.1,-4.48,-5.19,0.01
Scyl2,38.3,0.1,0,-1.88,-6.18,0.01
Trim12a,14.2,0.2,0,-2.33,-6.08,0.01
Ccnb1,219.8,6.1,0.2,-4.95,-5.17,0.01
Zfp646,1.1,4.6,0,-6.55,-6.55,0.01
Tmem88b,1.6,105.3,0,-11.04,-7.24,0.01
Hcfc2,98.2,308.6,0,-12.59,-7.36,0.01
H2afy,98.9,0.2,0,-2.53,-6.18,0.01
Wls,191.6,87.6,0,-10.78,-7.16,0.01
Tbc1d7,105.3,0.2,0,-2.21,-6.18,0.01
Dpp4,149.1,1.6,0.1,-4,-5.24,0.01
Eps8l2,11.3,0.5,0,-3.52,-6.29,0.01
Zkscan14,19.1,0.2,0,-2.48,-6.11,0.01
Fastkd5,52.8,0.3,0,-2.67,-6.08,0.01
Pex11b,186.3,0.4,0,-3.29,-6.39,0.01
Fos,22.1,0.5,0,-3.32,-6.28,0.01
Cdk2,90.2,0.1,0,-1.23,-5.97,0.01
Slc25a37,63.7,0.2,0,-2.53,-6.1,0.01
Dixdc1,98.5,3464.7,0.1,-15.08,-7.17,0.01
Rnls,86.2,0.2,0,-2.27,-6.14,0.01
Ints12,101.7,0.5,0,-3.34,-6.24,0.01
Pawr,43.6,4,0,-6.33,-6.61,0.01
Reps1,89.8,1.2,0,-4.62,-6.47,0.01
Slc35f3,32.5,11.1,0,-7.81,-6.92,0.01
Slc22a14,35.6,225.6,0,-12.14,-7.3,0.01
Parp9,105.6,0.1,0,-1.23,-6.08,0.01
Bmi1,354,730.1,0,-13.83,-7.18,0.01
Ubl4,76,59.2,0,-10.21,-7.12,0.01
Spty2d1,119.6,1.4,0,-4.83,-6.42,0.01
Lancl1,145,0.3,0,-2.67,-6.25,0.01
Nudt10,10.6,202.4,0,-11.98,-7.19,0.01
Zfp800,57,103.3,0,-11.01,-7.04,0.01
Plcg1,10.5,546,0,-13.41,-7.3,0.01
Abca14,85.1,23.3,0,-8.87,-6.99,0.01
Wwp1,330.9,1.1,0,-4.57,-6.45,0.01
Ryr3,58.1,530.1,0,-13.37,-7.36,0.01
Cdc14a,80.3,0.3,0,-2.79,-6.33,0.01
Rbp1,2.3,1.4,0,-4.82,-6.25,0.01
Tspan2,85.5,161,0,-11.65,-7.28,0.01
Cd19,8,406.8,0,-12.99,-7.35,0.01
Gm10413,85.5,0.2,0,-2.48,-6.16,0.01
Cct7,32.9,0.2,0,-2.27,-6.23,0.01
Usp49,24.2,0.3,0,-2.97,-6.14,0.01
Phax,70.4,1.2,0,-4.69,-6.52,0.01
Gpx5,102,0.1,0,-1.8,-6.12,0.01
Aup1,3,0.1,0,-1.88,-6.04,0.01
Klf9,111.9,2.8,0,-5.82,-6.57,0.01
Arl9,18.4,1.1,0,-4.58,-6.24,0.01
Stard6,353.4,0.2,0,-2.21,-6.19,0.01
Mylk,359.7,4.5,0.2,-4.49,-5.12,0.01
Clec2d,0.6,67.9,0,-10.41,-7.04,0.01
Selk,188,0.1,0,-1.88,-6.16,0.01
Poglut1,117.5,148.2,0,-11.53,-7.17,0.01
Plekha3,88.8,130.6,0,-11.35,-7.2,0.01
Wsb1,222.4,3632.5,0.1,-14.56,-7.16,0.01
Phf6,77.7,0.2,0,-2.33,-6.15,0.01
Fat3,14,295.8,0,-12.53,-7.33,0.01
AI314180,190.6,0.2,0,-2.53,-6.26,0.01
Stx6,33.1,0.5,0,-3.34,-6.29,0.01
Arf3,76.8,0.1,0,-1.72,-6.06,0.01
Txndc2,80.8,0.3,0,-2.95,-6.23,0.01
Fyco1,199.3,5062.7,0,-16.63,-7.42,0.01
Rfc4,240.9,0.2,0,-2.21,-6.15,0.01
Nedd8,11.1,1164.9,0,-14.51,-7.44,0.01
Arsb,222.6,0.1,0,-1.72,-6.24,0.01
Lats2,265.5,0.6,0,-3.78,-6.35,0.01
Rngtt,41.7,0.6,0,-3.78,-6.29,0.01
Spast,212.3,0.4,0,-3.08,-6.28,0.01
Scaf4,6.6,436.2,0,-13.09,-7.22,0.01
Sirt1,72.4,1.3,0,-4.77,-6.45,0.01
Xrcc6,51.9,0.3,0,-2.63,-6.32,0.01
Odf4,318.7,0.2,0,-2.58,-6.33,0.01
Psmc5,131.4,0.1,0,-1.72,-6.15,0.01
Fam179b,138.2,1,0,-4.41,-6.58,0.01
Ifi204,55.5,0.6,0,-3.64,-6.37,0.01
Mkrn1,147,30.5,0,-9.25,-7,0.01
1600012H06Rik,162.2,17.5,0,-8.45,-6.9,0.01
Kctd4,37.5,0.7,0,-3.88,-6.37,0.01
Rad23a,2.2,2.1,0,-5.39,-6.46,0.01
Osbpl2,86.2,0.1,0,-1.72,-6.11,0.01
Slc41a1,84,0.2,0,-2.15,-6.27,0.01
Zfp867,64.9,0.2,0,-2.53,-6.19,0.01
Alg14,168.3,0.3,0,-2.63,-6.24,0.01
Gm9992,1.8,0.9,0,-4.21,-6.29,0.01
Gm11128,26.7,0.2,0,-2.48,-6.07,0.01
Lrrc1,38.1,0.3,0,-2.97,-6.27,0.01
BC048671,159.5,2199.4,0.1,-14.42,-7.26,0.01
Fzd6,47.9,29.2,0,-9.19,-6.99,0.01
Ptpn6,33.8,0.1,0,-1.23,-6.09,0.01
Zfp41,42,188.7,0,-11.88,-7.25,0.01
Bmp7,20.3,0.6,0,-3.71,-6.23,0.01
Yif1a,16.4,5.5,0,-6.8,-6.78,0.01
Aaed1,15,0.4,0,-3.17,-6.21,0.01
Morn2,20.4,783.1,0,-13.94,-7.28,0.01
Slc51a,147,1.1,0,-4.49,-6.35,0.01
Egr3,44.2,0.1,0,-1.23,-6.14,0.01
Mtg1,36.9,0.4,0,-3.18,-6.22,0.01
Gemin5,12.6,0.5,0,-3.37,-6.26,0.01
Nckap1,412.5,38.4,0,-9.59,-7.12,0.01
Preb,75.2,0.1,0,-1.72,-6.09,0.01
Eda2r,24,0.3,0,-2.91,-6.28,0.01
Purg,37,460.5,0,-13.17,-7.31,0.01
Tacc2,32.4,0.1,0,-1.72,-6.14,0.01
Syn1,52.9,3.1,0.1,-4.39,-5.06,0.01
Inadl,106.3,0.5,0,-3.34,-6.23,0.01
Pcyt2,9.8,2.1,0,-5.41,-6.42,0.01
Eif3f,88.5,19.9,0,-8.64,-6.92,0.01
Fbxl20,14.5,0.3,0,-2.97,-6.17,0.01
1110008F13Rik,65.7,0.2,0,-2.33,-6.14,0.01
Urah,3.4,0.9,0,-4.18,-6.28,0.01
Serf1,9.1,3.5,0,-6.14,-6.66,0.01
C530008M17Rik,127.7,0.6,0,-3.71,-6.29,0.01
Pik3ip1,42.2,0.2,0,-2.15,-6.08,0.01
Psg23,0.8,0.7,0,-3.99,-6.35,0.01
Phlpp1,27.7,122.2,0,-11.26,-7.24,0.01
Epb4.1,71.2,5.6,0,-6.82,-6.68,0.01
Oma1,63.9,0.3,0,-2.67,-6.13,0.01
Mpp1,189.3,0.1,0,-1.88,-6.18,0.01
Col6a5,3.8,0.4,0,-3.17,-6.26,0.01
Uhrf1,6,1.1,0,-4.58,-6.43,0.01
Reep1,100.8,3,0,-5.92,-6.69,0.01
Golga7,265.9,521.9,0,-13.35,-7.25,0.01
Zfp780b,27.2,0.4,0,-3.01,-6.26,0.01
Rerg,16.8,2.9,0,-5.91,-6.53,0.01
Arl13a,83.8,0.1,0,-1.8,-6.13,0.01
Hsdl2,45.6,1.7,0,-5.16,-6.51,0.01
Copa,234.8,0.3,0,-2.79,-6.29,0.01
Yes1,45.2,1.2,0,-4.66,-6.43,0.01
Prob1,16.8,1,0,-4.4,-6.51,0.01
Slc26a4,80.4,0.3,0,-2.67,-6.17,0.01
Slc4a9,1.3,0.4,0,-3.18,-6.19,0.01
Lsm12,5,3.2,0,-6.02,-6.57,0.01
Styx,41.9,0.5,0,-3.34,-6.29,0.01
4933411K16Rik,77,0.1,0,-1.23,-6.12,0.01
Cst8,44.4,465.1,0,-13.18,-7.24,0.01
Syce1,92.7,0.2,0,-2.21,-6.2,0.01
Lama2,54.8,278.8,0,-12.45,-7.33,0.01
Adprm,183,0.1,0,-1.8,-6.08,0.01
Wdr92,39.9,0.7,0,-3.88,-6.26,0.01
Fert2,60,0.2,0,-2.21,-6.18,0.01
1700001K19Rik,27,2.3,0.1,-4.58,-5.25,0.01
Nxt2,100.4,0.5,0,-3.52,-6.32,0.01
Tmx2,219.7,2.8,0,-5.81,-6.66,0.01
Hdlbp,281.8,1103.2,0,-14.43,-7.38,0.01
Osbpl9,262.6,586.6,0,-13.52,-7.5,0.01
Dlat,133.1,68.9,2,-5.07,-4.85,0.01
Chil1,324.9,0.5,0,-3.37,-6.34,0.01
Eif2b3,184.7,0.3,0,-2.87,-6.29,0.01
Mfsd4,88.8,0.2,0,-2.21,-6.22,0.01
Mphosph8,146.1,0.5,0,-3.56,-6.42,0.01
Prr15l,14.8,4.7,0,-6.57,-6.62,0.01
Angpt2,44.9,0.7,0,-3.96,-6.39,0.01
Ankrd44,124.9,365.6,0,-12.84,-7.22,0.01
Itm2a,68.4,0.4,0,-3.17,-6.29,0.01
Btbd16,33.4,0.3,0,-2.79,-6.13,0.01
Adam20,110.7,17.2,0,-8.43,-6.9,0.01
St13,105.2,0.4,0,-3.18,-6.19,0.01
Dpy19l1,72.1,0.5,0,-3.52,-6.27,0.01
Apaf1,51.1,0.1,0,-1.8,-6.13,0.01
Zpbp,122.5,0.2,0,-2.33,-6.23,0.01
Cycs,120.6,0.3,0,-2.95,-6.34,0.01
6820408C15Rik,19.7,591.5,0,-13.53,-7.34,0.01
Neo1,107.1,244.3,0,-12.25,-7.19,0.01
Iqgap1,265.3,1.2,0.1,-3.7,-5.24,0.01
Nap1l2,108.6,1045.2,0.1,-13.35,-7.12,0.01
Fam92a,86.6,0.1,0,-1.72,-6.12,0.01
Ifi205,66.7,1.7,0.1,-4.13,-5.28,0.01
Cmpk1,172.1,2343.1,0,-15.52,-7.33,0.01
Osgepl1,259.8,0.3,0,-2.83,-6.4,0.01
Rplp2,3.8,0.2,0,-2.15,-6.05,0.01
Pabpc1,422.5,0.3,0,-2.83,-6.36,0.01
Auts2,35.3,2,0.1,-3.77,-4.89,0.01
Ampd3,49.1,18.6,0,-8.55,-6.83,0.01
Hsph1,164.5,0.1,0,-1.1,-6.13,0.01
Spata31,96.8,0.8,0,-4.09,-6.5,0.01
Ssr2,306.5,1851.5,0.1,-14.17,-7.16,0.01
Smc1b,100.4,0.2,0,-2.53,-6.17,0.01
Nsdhl,290.4,0.6,0,-3.75,-6.32,0.01
Slc22a29,8.7,0.7,0,-3.98,-6.26,0.01
Sirpb1a,6.6,1.8,0.1,-4.19,-5.24,0.01
Plekhg1,52.1,0.6,0,-3.71,-6.22,0.01
Vps26b,288.8,0.4,0,-3.08,-6.31,0.01
Nsun7,89.3,0.5,0,-3.52,-6.35,0.01
Clgn,87.1,1,0,-4.38,-6.39,0.01
Sik3,59.7,0.5,0,-3.52,-6.33,0.01
Trak1,92.9,0.1,0,-1.23,-6.01,0.01
Hnrnpa2b1,135.6,0.5,0,-3.52,-6.35,0.01
Myadm,11.4,0.3,0,-2.67,-6.14,0.01
Cenpq,204.9,2,0.1,-3.78,-5.05,0.01
1700019D03Rik,144.5,0.3,0,-2.75,-6.32,0.01
Usp7,108.5,6.6,0.2,-5.05,-5.18,0.01
Gc,89.7,0.3,0,-2.97,-6.22,0.01
4933402E13Rik,47.4,0.2,0,-2.15,-6.13,0.01
Zadh2,36.9,850.1,0,-14.05,-7.3,0.01
Prdm2,55.5,0.2,0,-2.48,-6.15,0.01
Tlk1,192.6,3.9,0,-6.3,-6.77,0.01
Tfdp1,115.8,76.3,0,-10.58,-7.04,0.01
Pno1,76.3,0.2,0,-2.15,-6.21,0.01
Nsf,286,0.4,0,-3.08,-6.22,0.01
Mdm4,351.6,0.4,0,-3.15,-6.39,0.01
Cab39l,346,0.4,0,-3.08,-6.36,0.01
Iigp1,230.5,252.7,0,-12.3,-7.25,0.01
Sema3c,233.1,219.6,0,-12.1,-7.27,0.01
Endod1,85.7,0.2,0,-2.53,-6.25,0.01
Papd5,200.8,0.3,0,-2.97,-6.36,0.01
Fam133b,78.7,0.9,0,-4.21,-6.36,0.01
Dennd2c,41.6,0.1,0,-1.88,-6.08,0.01
Ttc4,132.6,0.4,0,-3.2,-6.37,0.01
Suv420h1,94.5,0.2,0,-2.21,-6.18,0.01
Ifit1,46.8,0.2,0,-2.21,-6.11,0.01
Banp,23.9,0.2,0,-2.48,-6.05,0.01
Fgfr2,74,1.9,0,-5.28,-6.47,0.01
Abcb7,113.2,0.8,0,-4.1,-6.37,0.01
Ndufaf7,101.5,0.3,0,-2.83,-6.24,0.01
Dnajc14,120.7,98,0,-10.94,-7.08,0.01
Ano1,62.9,0.9,0,-4.18,-6.33,0.01
Mad2l2,22,15,0,-8.23,-6.79,0.01
H2-Ab1,13.7,0.5,0,-3.56,-6.29,0.01
Insig1,55.1,122.6,0,-11.26,-7.22,0.01
Pcdh17,40.6,1.9,0,-5.27,-6.47,0.01
Atp5s,24.7,0.2,0,-2.53,-6.13,0.01
Otulin,41.1,0.5,0,-3.34,-6.33,0.01
B3gat2,132.5,3.3,0,-6.08,-6.65,0.01
Slc7a1,74.3,17.8,0,-8.48,-6.96,0.01
Tmem254a,230.1,0.2,0,-2.15,-6.21,0.01
Cntrl,62.9,81.3,0,-10.67,-7.17,0.01
Anapc5,54.7,0.8,0,-4.08,-6.34,0.01
Slc1a5,23.7,35.4,0,-9.47,-6.98,0.01
Glod4,106.4,928.4,0.1,-13.18,-7.14,0.01
P2rx7,8,0.5,0,-3.34,-6.25,0.01
Mrpl15,37.2,216.3,0,-12.08,-7.23,0.01
Tex35,212.7,0.4,0,-3.08,-6.26,0.01
Col4a3,188.3,0.2,0,-2.53,-6.28,0.01
Msl1,208.5,525.8,0,-13.36,-7.38,0.01
Med12,1.6,47.9,0,-9.9,-7.19,0.01
B230118H07Rik,422.7,0.2,0,-2.53,-6.35,0.01
Hsd17b11,23.6,134.7,0,-11.4,-7.18,0.01
Krt222,1.5,2.4,0,-5.61,-6.46,0.01
Zdhhc21,60,3,0,-5.94,-6.59,0.01
Fbxl14,9.5,74.9,0,-10.55,-7.09,0.01
Man2a1,116,79.9,0,-10.64,-7.25,0.01
Elmod2,47.4,30.3,0,-9.24,-6.98,0.01
Pou2f1,28.7,1.9,0,-5.27,-6.47,0.01
Gm14326,50.6,2.8,0.1,-4.24,-5,0.01
Sestd1,186.1,1.2,0.1,-3.65,-5.1,0.01
Chmp1a,17.6,146.9,0,-11.52,-7.06,0.01
Fabp4,79.1,581.8,0,-13.51,-7.25,0.01
Cyp4a14,165.5,1.4,0.1,-3.89,-5.3,0.01
Tex38,36.7,628.7,0,-13.62,-7.32,0.01
Traf6,36.1,2.2,0.1,-4.51,-5.35,0.01
3830406C13Rik,316.2,0.4,0,-3.26,-6.35,0.01
Pilra,18.7,0.5,0,-3.56,-6.26,0.01
H2afb1,51,0.3,0,-2.87,-6.36,0.01
Pbld2,20,0.3,0,-2.75,-6.19,0.01
Med19,66.4,0.6,0,-3.78,-6.3,0.01
Edem3,108.8,36.6,0,-9.52,-7.06,0.01
2310033P09Rik,2.8,3.7,0,-6.24,-6.51,0.01
Sgk1,43.8,61.6,0,-10.27,-7,0.01
Crbn,243.5,607.9,0,-13.57,-7.33,0.01
Hmgb3,103.2,1.9,0,-5.32,-6.48,0.01
Capn5,48.4,0.3,0,-2.95,-6.25,0.01
Triap1,54.3,1,0,-4.39,-6.42,0.01
Plac8,64.1,1248.5,0,-14.61,-7.43,0.01
Arhgap4,6.9,0.7,0,-3.99,-6.26,0.01
Mllt11,53.1,2.1,0.1,-4.41,-5.28,0.01
Mettl16,43.1,1.1,0,-4.49,-6.44,0.01
Fbl,9.4,1.7,0,-5.14,-6.39,0.01
Ccdc88a,127.7,158.2,0,-11.63,-7.29,0.01
Plscr3,36.7,0.4,0,-3.2,-6.29,0.01
Rasa1,255.5,3.2,0.2,-4.01,-4.95,0.01
Foxp2,68.8,0.7,0,-3.99,-6.4,0.01
Fam192a,64.3,587,0,-13.52,-7.33,0.01
Ckb,17.9,0.9,0,-4.29,-6.42,0.01
Srsf5,255.9,1668,46.7,-5.16,-4.82,0.01
Cpne1,74,0.8,0,-4.01,-6.31,0.01
Zbtb8b,1.4,335.4,0,-12.71,-7.28,0.01
Sfi1,19.5,0.9,0,-4.26,-6.39,0.01
Fam204a,128.8,3,0,-5.91,-6.54,0.01
Ttc39c,62.5,0.4,0,-3.17,-6.25,0.01
Anapc2,54.7,0.3,0,-2.67,-6.2,0.01
Acox3,111.3,14.8,0,-8.21,-6.92,0.01
Peg3,37.4,91,0,-10.83,-7.12,0.01
Gmnn,83.6,2.6,0.1,-4.7,-5.53,0.01
Slc20a1,126.5,0.1,0,-1.72,-6.14,0.01
Mme,289.9,174,0,-11.77,-7.2,0.01
Srl,37.5,1,0,-4.4,-6.47,0.01
1700021K19Rik,53.1,88.8,0,-10.8,-7.26,0.01
Cml1,110.4,3.4,0,-6.12,-6.58,0.01
Itga1,65.2,4295.2,0,-16.39,-7.51,0.01
Zfp142,24.2,362,0,-12.82,-7.18,0.01
Zfml,181.4,1309.5,0.1,-13.68,-7.17,0.01
Kcnd3,125.1,55.2,0,-10.11,-7.09,0.01
Tmem5,10.4,0.8,0,-4.09,-6.31,0.009
Kbtbd11,64.2,0.7,0,-3.99,-6.39,0.009
Rbl2,317.4,0.5,0,-3.37,-6.43,0.009
Rcbtb2,45.1,0.5,0,-3.52,-6.22,0.009
Dab1,80.8,0.7,0,-3.81,-6.4,0.009
Gm3696,37.3,0.2,0,-2.53,-6.16,0.009
Vti1a,20.9,3.1,0,-5.97,-6.5,0.009
Scp2,349.9,787,0,-13.94,-7.41,0.009
Smad4,92.5,175.4,0,-11.78,-7.16,0.009
Fyttd1,477.6,152,0,-11.57,-7.24,0.009
Cnot2,193.5,2.9,0,-5.89,-6.56,0.009
Tnfsf10,171,0.4,0,-3.01,-6.32,0.009
