prey,Base,Vec,Rab5GDP,Rab5GTP,Enr_GDP,Enr_GTP,sEnr_GDP,sEnr_GTP,p_GDP_Vec,p_GTP_Vec,p_GTP_GDP,p_GDP_GTP,p_GDP,p_GTP
C1ql3,60.9,0.1,0,0,-1.72,-1.72,-2.14,-3.72,0.018,0,0.152,0.848,0.015,0
Psma8,266.3,0.1,0.5,0.2,1.55,0.12,-1.78,-3.51,0.03,0,0.11,0.89,0.027,0
Mex3c,127.1,49.4,0.3,0,-7.23,-9.95,-2.17,-3.88,0.017,0,0.135,0.865,0.015,0
Ubqlnl,98.3,0.1,0.3,0.1,1.49,0.09,-1.72,-3.54,0.041,0,0.102,0.898,0.037,0
Necab1,122.8,122.3,0.5,0.1,-7.83,-9.93,-2.21,-3.87,0.02,0,0.137,0.863,0.017,0
Kif14,3.8,0.6,0,0,-3.64,-3.64,-2.22,-3.83,0.019,0,0.162,0.838,0.016,0
Surf1,50.8,0.1,0.1,0,0.82,-1.1,-1.72,-3.74,0.046,0,0.087,0.913,0.042,0
Nudt11,14.7,0.1,0.1,0,0.03,-1.23,-1.81,-3.75,0.036,0,0.105,0.895,0.032,0
B9d1,48.3,0.1,0,0,-1.1,-1.1,-2.07,-3.7,0.023,0,0.147,0.853,0.02,0
Ccnb1,238.8,6.1,0.3,0.2,-4.23,-4.95,-2.11,-3.7,0.021,0,0.147,0.853,0.018,0
Kif2b,55.2,0.1,0.1,0,0.03,-1.23,-1.86,-3.75,0.032,0,0.101,0.899,0.029,0
Ankfy1,165.8,0.5,0.1,0,-1.6,-3.52,-1.92,-3.8,0.036,0,0.12,0.88,0.032,0
Mterf4,109.2,36,0.2,0.1,-7.12,-8.17,-2.16,-3.83,0.022,0,0.144,0.856,0.019,0
Ascc3,91.8,838,0.1,0.2,-12.77,-11.57,-2.24,-3.85,0.024,0,0.164,0.836,0.02,0
Mpz,3.8,0.1,0,0,-1.1,-1.1,-2.1,-3.72,0.023,0,0.148,0.852,0.02,0
Cdc42ep3,42.6,222.4,0,0,-12.12,-12.12,-2.22,-3.87,0.022,0,0.168,0.832,0.018,0
Akap6,83,13.3,0.1,0,-6.14,-8.06,-2.17,-3.88,0.02,0,0.142,0.858,0.018,0
Ift22,27.5,0,0.1,0,1.26,0,-1.71,-3.73,0.045,0,0.091,0.909,0.041,0
Zscan26,22,0,0.1,0,1.26,0,-1.72,-3.75,0.054,0,0.096,0.904,0.049,0
Serpine2,89.6,0.1,0.2,0,1.15,-1.23,-1.65,-3.74,0.05,0,0.083,0.917,0.045,0
Fbxl14,9.6,74.9,0,0,-10.55,-10.55,-2.21,-3.91,0.024,0,0.15,0.85,0.02,0
Slc5a3,86.1,52.6,0.2,0,-7.66,-10.04,-2.21,-3.89,0.02,0,0.149,0.851,0.017,0
Proser1,33.9,22.6,0,0,-8.82,-8.82,-2.2,-3.86,0.019,0,0.156,0.844,0.016,0
Atp1b2,69.7,0,0.1,0,1.26,0,-1.76,-3.72,0.038,0,0.099,0.901,0.035,0
Pet2,14.4,0.2,0,0,-2.15,-2.15,-2.09,-3.72,0.026,0,0.149,0.851,0.023,0
Mboat2,38.4,0.1,0.1,0,0.82,-1.1,-1.71,-3.77,0.048,0,0.09,0.91,0.044,0
Anapc16,10.3,0,0.1,0,1.26,0,-1.66,-3.74,0.06,0,0.097,0.903,0.054,0
Aplnr,32.5,199.6,0,0,-11.96,-11.96,-2.2,-3.87,0.023,0,0.15,0.85,0.019,0
Zfp330,68.2,2.4,0.2,0,-3.21,-5.59,-2.07,-3.84,0.019,0,0.131,0.869,0.017,0
Emp3,7.4,0,0.1,0,1.26,0,-1.67,-3.66,0.06,0,0.098,0.902,0.054,0
Commd8,143.2,6,0.1,0.2,-5.65,-4.91,-2.14,-3.68,0.019,0,0.158,0.842,0.016,0
Ddah1,236.6,13.3,0.2,0.1,-5.68,-6.74,-2.13,-3.8,0.019,0,0.143,0.857,0.017,0
Cwf19l2,75.2,2.1,0,0.1,-5.45,-4.12,-2.21,-3.67,0.019,0,0.172,0.828,0.016,0
Alkbh3,70.7,1.4,0,0,-4.87,-4.87,-2.17,-3.8,0.019,0,0.149,0.851,0.016,0
Unc45b,12.5,0,0.1,0,1.26,0,-1.75,-3.72,0.05,0,0.107,0.893,0.045,0
Rfx7,81.4,2.5,0.1,0.2,-4.39,-3.65,-2.16,-3.57,0.019,0,0.179,0.821,0.016,0
Slc2a3,354.6,13.2,0.6,0.7,-4.44,-4.19,-2.12,-3.63,0.021,0,0.159,0.841,0.017,0
Txndc9,551.5,79.1,0.6,0.8,-6.86,-6.5,-2.18,-3.76,0.024,0,0.159,0.841,0.02,0
Tvp23b,204.7,0.2,0.5,0,1.16,-2.27,-1.67,-3.79,0.052,0,0.086,0.914,0.047,0
Lypla1,75.5,289,0.1,0.1,-10.57,-11.17,-2.23,-3.88,0.019,0,0.151,0.849,0.016,0
BC005561,39.1,21.8,0,0,-8.77,-8.77,-2.22,-3.86,0.019,0,0.158,0.842,0.016,0
Fer1l5,22.5,0.5,0.1,0,-2.08,-3.34,-2.01,-3.79,0.019,0,0.127,0.873,0.016,0
Tmem164,88.1,6.2,0.1,0,-5.71,-6.98,-2.17,-3.84,0.02,0,0.146,0.854,0.017,0
Rnaset2b,66.9,8.8,0.1,0,-6.2,-7.47,-2.2,-3.84,0.017,0,0.144,0.856,0.014,0
Ate1,207.4,8.9,0.2,0.1,-5.11,-6.16,-2.14,-3.79,0.015,0,0.141,0.859,0.013,0
Rasgrp1,140.5,74.3,0.2,0.1,-8.16,-9.21,-2.25,-3.84,0.017,0,0.163,0.837,0.014,0
Zfp472,38,176.6,0,10.4,-11.79,-4.08,-2.23,-3.52,0.016,0,0.205,0.795,0.013,0
Pkia,143.2,11.5,0.2,0.2,-5.47,-5.85,-2.14,-3.76,0.022,0,0.15,0.85,0.019,0
1700001J03Rik,39.5,0.1,0.1,0,0.16,-1.1,-1.82,-3.71,0.037,0,0.107,0.893,0.033,0
Gtpbp2,7.8,0.1,0,0,-1.23,-1.23,-2.12,-3.74,0.024,0,0.16,0.84,0.02,0
Rpl37,76.4,0,0.1,0,1.26,0,-1.75,-3.71,0.051,0,0.102,0.898,0.046,0
Ttll9,8.2,0.1,0,0,-1.72,-1.72,-2.11,-3.75,0.022,0,0.14,0.86,0.019,0
Ces1e,39.6,0.1,0.1,0,0.16,-1.1,-1.83,-3.75,0.037,0,0.108,0.892,0.033,0
Tm9sf4,56.4,16.8,0.1,0,-7.13,-8.39,-2.19,-3.86,0.018,0,0.149,0.851,0.015,0
Myom2,4.1,4.9,0,0,-6.62,-6.62,-2.22,-3.82,0.023,0,0.165,0.835,0.019,0
Actr10,405.8,118.4,0.2,0.5,-8.83,-7.68,-2.2,-3.78,0.018,0,0.158,0.842,0.015,0
Fbxo33,83.1,28.9,5.7,0,-2.32,-9.18,-1.86,-3.87,0.029,0,0.096,0.904,0.026,0
42624,131.5,0.2,0.2,0.1,-0.15,-1.21,-1.91,-3.57,0.031,0,0.121,0.879,0.027,0
Setbp1,44.2,8.5,0,0.1,-7.42,-6.09,-2.21,-3.76,0.025,0,0.161,0.839,0.021,0
Lama4,113.3,0.2,0.1,0,-1.27,-2.53,-1.97,-3.8,0.028,0,0.122,0.878,0.025,0
Gp2,16.6,0,0.1,0,1.26,0,-1.72,-3.71,0.05,0,0.102,0.898,0.045,0
Ldb2,61.4,0,0.1,0,1.92,0,-1.6,-3.73,0.07,0,0.092,0.908,0.064,0
Fez2,131.9,6.1,0.1,0.4,-5.67,-3.84,-2.18,-3.57,0.02,0,0.178,0.822,0.016,0
Nt5e,150.5,628.9,0.2,9.8,-11.24,-5.99,-2.23,-3.73,0.023,0,0.185,0.815,0.019,0
Trim33,157,0.7,0.2,0,-1.52,-3.9,-1.92,-3.8,0.03,0,0.109,0.891,0.027,0
Rbpms,199.8,3.5,0.1,0.2,-4.22,-3.68,-2.11,-3.6,0.021,0,0.163,0.837,0.018,0
Cacnb4,159.6,2.1,0.2,0,-3.08,-5.45,-2.04,-3.84,0.021,0,0.127,0.873,0.019,0
Zfp518a,115.4,3.7,0,0,-6.21,-6.21,-2.21,-3.81,0.022,0,0.167,0.833,0.018,0
Akr1c6,21.4,0,0.1,0,1.26,0,-1.71,-3.69,0.057,0,0.102,0.898,0.052,0
Csnk1d,36.4,0,0.1,0,1.26,0,-1.69,-3.75,0.06,0,0.093,0.907,0.054,0
Cpd,339.2,244.4,0.6,0.3,-8.49,-9.44,-2.21,-3.85,0.021,0,0.151,0.849,0.018,0
Yap1,65.5,0.1,0.1,0,0.03,-1.23,-1.83,-3.75,0.034,0,0.11,0.89,0.031,0
Zfyve27,36.3,3.9,0,0,-6.3,-6.3,-2.19,-3.85,0.025,0,0.157,0.843,0.021,0
Purg,41.8,460.5,0,0,-13.17,-13.17,-2.21,-3.87,0.019,0,0.151,0.849,0.016,0
Kcmf1,45.7,0.2,0,0,-2.48,-2.48,-2.06,-3.76,0.027,0,0.144,0.856,0.023,0
Atp6ap1l,21.2,0.1,0,0,-1.72,-1.72,-2.07,-3.74,0.023,0,0.146,0.854,0.02,0
Qk,343.2,783.5,60.3,0.7,-3.7,-10.07,-2,-3.87,0.021,0,0.111,0.889,0.019,0
St3gal4,30.8,0.1,0.1,0,0.16,-1.1,-1.8,-3.76,0.035,0,0.096,0.904,0.032,0
3110002H16Rik,57.8,3.4,0.1,0,-4.85,-6.11,-2.18,-3.83,0.019,0,0.156,0.844,0.016,0
Tespa1,40.5,2.5,0,0,-5.65,-5.65,-2.18,-3.82,0.018,0,0.144,0.856,0.015,0
Scn8a,63.4,0.1,0,0,-1.23,-1.23,-2.1,-3.77,0.025,0,0.156,0.844,0.021,0
Kng2,212.4,219.6,0.1,0.1,-10.84,-10.78,-2.25,-3.86,0.022,0,0.161,0.839,0.019,0
Sh3bgrl3,8,0,0.1,0,1.26,0,-1.67,-3.73,0.06,0,0.09,0.91,0.055,0
Nfx1,124.8,23.8,0.2,0.2,-6.52,-6.89,-2.16,-3.8,0.022,0,0.148,0.852,0.019,0
Zfp84,58.6,0.7,0.2,0,-1.45,-3.83,-1.87,-3.79,0.031,0,0.1,0.9,0.027,0
Sema3e,31,0,0.1,0,1.26,0,-1.7,-3.72,0.063,0,0.104,0.896,0.057,0
Yes1,47.3,1.2,0.1,0,-2.73,-4.66,-2,-3.82,0.024,0,0.121,0.879,0.021,0
Rps6kb1,150.3,114.4,0.3,0.3,-8.44,-8.35,-2.21,-3.86,0.019,0,0.152,0.848,0.016,0
Dsc1,8.4,39.2,0,0,-9.62,-9.62,-2.23,-3.9,0.023,0,0.153,0.847,0.019,0
Rab11fip5,200.5,9,0.6,0,-3.9,-7.5,-2.05,-3.89,0.025,0,0.117,0.883,0.022,0
Dlg1,15.6,2.9,0,0,-5.88,-5.88,-2.14,-3.83,0.023,0,0.149,0.851,0.02,0
Cypt12,15.1,0,0.1,0,1.26,0,-1.67,-3.73,0.058,0,0.093,0.907,0.052,0
B3gat2,133.2,3.3,0.1,0.2,-4.81,-3.61,-2.16,-3.57,0.022,0,0.175,0.825,0.018,0
Tmx4,209.3,4.9,0.2,0.1,-4.26,-5.31,-2.16,-3.77,0.015,0,0.138,0.862,0.013,0
Fosl2,123.1,34.6,0.8,0,-5.4,-9.44,-2.13,-3.9,0.019,0,0.129,0.871,0.017,0
Rb1,117.6,17.1,0,0.3,-8.42,-5.61,-2.22,-3.73,0.021,0,0.16,0.84,0.018,0
Lmo3,8.4,0,0.1,0,1.92,0,-1.47,-3.72,0.091,0,0.077,0.923,0.084,0
Sntg1,54.6,3,0.2,0,-3.57,-5.94,-2.05,-3.84,0.023,0,0.125,0.875,0.02,0
Hmgcs1,192.4,139,0.3,0.1,-8.44,-10.12,-2.21,-3.88,0.018,0,0.15,0.85,0.016,0
Bivm,55.8,318.4,0,0.1,-12.64,-11.31,-2.23,-3.88,0.022,0,0.154,0.846,0.019,0
Arglu1,53.3,1.5,0,0.1,-4.98,-3.65,-2.19,-3.68,0.023,0,0.188,0.812,0.018,0
Umad1,128.3,0,0.2,0.1,2.38,1.32,-1.81,-3.53,0.04,0,0.124,0.876,0.035,0
Igsf1,6.3,0.1,0.1,0,-0.45,-1.72,-1.84,-3.76,0.037,0,0.104,0.896,0.033,0
Snrpg,4,7.7,0,0,-7.28,-7.28,-2.21,-3.85,0.024,0,0.15,0.85,0.02,0
Ddias,61.5,0.3,0,0,-2.67,-2.67,-2.13,-3.77,0.018,0,0.154,0.846,0.015,0
Ankrd28,42.5,0.1,0.1,0,0.03,-1.23,-1.83,-3.73,0.038,0,0.112,0.888,0.034,0
Laptm4a,134.7,0,0.1,0,1.26,0,-1.75,-3.75,0.045,0,0.102,0.898,0.04,0
Prkci,63.2,131.7,0.3,0,-8.64,-11.36,-2.24,-3.85,0.02,0,0.154,0.846,0.017,0
Hnrnpm,64.9,11.9,0.1,0,-6.64,-7.9,-2.18,-3.87,0.02,0,0.154,0.846,0.017,0
Fam96a,17.9,370.7,0.8,0,-8.7,-12.86,-2.17,-3.87,0.02,0,0.147,0.853,0.017,0
Gng12,620.7,4.7,1.6,0.8,-1.52,-2.56,-1.96,-3.54,0.026,0,0.133,0.867,0.023,0
Reps2,211.4,8.3,0.5,0.5,-3.95,-4.05,-2.09,-3.6,0.021,0,0.151,0.849,0.018,0
Rbm44,82.7,0.1,0.1,0,-0.45,-1.72,-1.9,-3.77,0.029,0,0.11,0.89,0.025,0
Hecw2,83.5,0.2,0.1,0.1,-0.35,-0.95,-1.93,-3.5,0.027,0,0.137,0.863,0.023,0
Lum,553.8,13.4,1.6,1.4,-3.02,-3.18,-2.06,-3.55,0.018,0,0.151,0.849,0.016,0
Frmd4b,151.5,0.1,0.5,0.1,1.55,-0.56,-1.7,-3.59,0.043,0,0.1,0.9,0.039,0
4933402N03Rik,31.2,0.2,0,0,-2.48,-2.48,-2.13,-3.78,0.024,0,0.15,0.85,0.02,0
Rad51c,6.7,211.2,0.1,0,-10.78,-12.04,-2.22,-3.88,0.023,0,0.158,0.842,0.02,0
Vnn1,175.5,32,0.2,0.5,-6.95,-6,-2.17,-3.73,0.02,0,0.161,0.839,0.017,0
Snrnp200,57.5,0.2,0,0,-2.33,-2.33,-2.19,-3.71,0.021,0,0.165,0.835,0.017,0
Hunk,132.4,10.2,0.1,0.2,-5.75,-5.21,-2.19,-3.69,0.017,0,0.177,0.823,0.014,0
Rbmx,31.3,0,0.1,0,1.26,0,-1.72,-3.72,0.046,0,0.097,0.903,0.041,0
Lrif1,179.9,0.1,0.1,0,0.82,-1.1,-1.77,-3.8,0.039,0,0.095,0.905,0.035,0
Zdhhc16,86.1,0.1,0.1,0,0.03,-1.23,-1.87,-3.74,0.03,0,0.107,0.893,0.027,0
Xlr3b,29.9,1.3,0.1,0,-3.49,-4.75,-2.1,-3.81,0.021,0,0.134,0.866,0.019,0
Slc29a3,15.5,0,0.1,0,1.26,0,-1.68,-3.73,0.053,0,0.093,0.907,0.048,0
Dcaf11,14,0,0.1,0,1.26,0,-1.69,-3.73,0.056,0,0.097,0.903,0.05,0
Pml,32.5,18.1,0,0,-8.5,-8.5,-2.25,-3.87,0.021,0,0.157,0.843,0.018,0
Ankib1,196.2,8.2,0.3,0.7,-4.36,-3.5,-2.15,-3.57,0.018,0,0.177,0.823,0.015,0
C8g,2.6,0.1,0,0,-1.23,-1.23,-2.09,-3.72,0.023,0,0.151,0.849,0.019,0
Ascc1,52,0.1,0.1,0,0.03,-1.23,-1.83,-3.73,0.034,0,0.113,0.887,0.03,0
Mast1,6.6,2,0,0,-5.33,-5.33,-2.18,-3.78,0.025,0,0.154,0.846,0.022,0
Col23a1,38.6,0,0.1,0,1.26,0,-1.75,-3.73,0.048,0,0.106,0.894,0.043,0
Snrpn,3.8,1.3,0.1,0,-2.81,-4.73,-1.93,-3.81,0.025,0,0.114,0.886,0.022,0
Shprh,70.1,8.3,0.2,0,-5.02,-7.39,-2.1,-3.89,0.017,0,0.124,0.876,0.015,0
Mapk8ip3,2.9,15.3,0,0,-8.26,-8.26,-2.21,-3.87,0.019,0,0.152,0.848,0.016,0
Atp5h,29.3,0.1,0,0,-1.23,-1.23,-2.11,-3.72,0.026,0,0.152,0.848,0.022,0
Ralgapa1,179.7,43.5,0.2,0.1,-7.39,-8.44,-2.18,-3.84,0.017,0,0.144,0.856,0.015,0
Nsd1,166.8,23.8,0.3,0,-6.18,-8.9,-2.15,-3.91,0.021,0,0.132,0.868,0.018,0
Cog5,32.7,0,0.1,0,1.26,0,-1.75,-3.69,0.049,0,0.1,0.9,0.044,0
Hsd3b2,84.3,32.8,0.2,0,-6.98,-9.36,-2.15,-3.83,0.019,0,0.143,0.857,0.016,0
Rbms3,102.5,29.8,0.3,0.2,-6.5,-7.22,-2.16,-3.78,0.02,0,0.147,0.853,0.017,0
Arhgef28,9.8,0.1,0,0,-1.23,-1.23,-2.06,-3.71,0.027,0,0.144,0.856,0.023,0
Lman1,131.2,147.2,0.8,0,-7.49,-11.52,-2.24,-3.86,0.02,0,0.155,0.845,0.017,0
Dnal1,76.4,10.8,0.2,0,-5.39,-7.77,-2.13,-3.82,0.02,0,0.141,0.859,0.017,0
Ophn1,42.3,13.7,0.1,0,-6.84,-8.1,-2.19,-3.89,0.019,0,0.149,0.851,0.016,0
Pkd2l2,45.8,0.1,0.1,0,0.16,-1.1,-1.83,-3.76,0.039,0,0.105,0.895,0.035,0
Sun3,175,7.7,0.1,0.2,-6.02,-4.82,-2.17,-3.69,0.022,0,0.166,0.834,0.018,0
Wrb,61.1,0.3,0.1,0.2,-0.82,-0.74,-1.99,-3.45,0.026,0,0.157,0.843,0.022,0
Pole3,5.1,0,0.1,0,1.26,0,-1.66,-3.75,0.059,0,0.087,0.913,0.054,0
Atpaf1,59.1,0.1,0,0,-1.8,-1.8,-2.11,-3.76,0.024,0,0.15,0.85,0.02,0
Ppp1r9a,82.4,1,0,0,-4.35,-4.35,-2.16,-3.79,0.015,0,0.146,0.854,0.013,0
Vil1,50.6,5.5,0.1,0,-5.54,-6.81,-2.14,-3.86,0.02,0,0.135,0.865,0.017,0
Lipo1,76.3,1.1,0,0,-4.58,-4.58,-2.18,-3.83,0.018,0,0.148,0.852,0.015,0
Polr2a,6.5,0,0.1,0,1.92,0,-1.53,-3.72,0.076,0,0.075,0.925,0.071,0
Rsl24d1,112.3,0.2,0.1,0,-1.22,-2.48,-1.98,-3.82,0.025,0,0.117,0.883,0.022,0
Mrpl57,3.4,8.5,0,0,-7.42,-7.42,-2.21,-3.86,0.024,0,0.146,0.854,0.021,0
Arhgap35,100.2,4.3,0,0,-6.46,-6.46,-2.21,-3.86,0.018,0,0.154,0.846,0.015,0
Acsl3,139.3,66.8,0.2,0.4,-8.01,-7.29,-2.19,-3.81,0.021,0,0.152,0.848,0.018,0
Rapgef2,75.9,3.5,0,0,-6.13,-6.13,-2.22,-3.83,0.018,0,0.152,0.848,0.015,0
Rnf219,3.4,27.5,0,0,-9.11,-9.11,-2.23,-3.87,0.019,0,0.154,0.846,0.016,0
Tcp10c,146.1,0.1,0.2,0.1,1.28,0.22,-1.8,-3.53,0.037,0,0.111,0.889,0.033,0
Hnrnpab,154,14.8,0.3,0.2,-5.49,-6.21,-2.17,-3.78,0.019,0,0.152,0.848,0.016,0
Mtfp1,13.2,186.1,0,0,-11.86,-11.86,-2.2,-3.85,0.02,0,0.163,0.837,0.017,0
Slc30a5,100.5,0,0.1,0,1.26,0,-1.8,-3.69,0.041,0,0.111,0.889,0.036,0
Morc2b,41.8,0.9,0,0,-4.31,-4.31,-2.16,-3.79,0.02,0,0.153,0.847,0.017,0
Dennd3,22.6,0.8,0.1,0,-2.83,-4.09,-2.1,-3.82,0.017,0,0.131,0.869,0.015,0
Ctxn3,33.5,0,0.1,0,1.26,0,-1.74,-3.74,0.05,0,0.103,0.897,0.045,0
Dpysl2,256.2,141.7,0.5,0.1,-8.04,-10.14,-2.23,-3.9,0.016,0,0.149,0.851,0.013,0
Ppp2r2a,339.9,249.3,0.1,0.9,-10.36,-8.03,-2.18,-3.82,0.026,0,0.16,0.84,0.022,0
Rnf24,89.1,34.8,0.1,0,-8.18,-9.44,-2.2,-3.88,0.023,0,0.154,0.846,0.02,0
Mme,292.5,174,0.2,0.3,-9.39,-8.96,-2.24,-3.86,0.017,0,0.149,0.851,0.014,0
Sdhb,81.4,0.1,0.1,0,0.69,-1.23,-1.76,-3.73,0.038,0,0.095,0.905,0.035,0
Armcx4,62.3,0,0.1,0,1.26,0,-1.77,-3.74,0.043,0,0.102,0.898,0.039,0
Atp6v1g2,53.8,10.5,0,0,-7.72,-7.72,-2.22,-3.87,0.018,0,0.149,0.851,0.015,0
Pak1ip1,93.8,0.1,0.1,0,0.03,-1.23,-1.87,-3.73,0.027,0,0.107,0.893,0.024,0
Sulf2,16.1,35.7,0.2,0,-7.11,-9.48,-2.21,-3.89,0.018,0,0.144,0.856,0.015,0
Abca1,243.8,24.8,0.6,0.2,-5.2,-6.5,-2.14,-3.78,0.022,0,0.149,0.851,0.019,0
Ndst1,72.5,0.1,0.2,0,0.66,-1.72,-1.7,-3.74,0.046,0,0.088,0.912,0.042,0
Ints12,103.7,0.5,0.2,0.1,-0.97,-2.02,-1.94,-3.6,0.023,0,0.132,0.868,0.02,0
Rsl1,10.6,0.1,0.1,0,0.16,-1.1,-1.79,-3.71,0.049,0,0.108,0.892,0.044,0
Prob1,14.8,1,0,0,-4.4,-4.4,-2.18,-3.81,0.018,0,0.158,0.842,0.015,0
Trim23,30.3,0.2,0.1,0,-0.95,-2.21,-1.91,-3.78,0.03,0,0.119,0.881,0.027,0
Casc4,74.4,36.8,0.1,0.1,-7.6,-8.2,-2.16,-3.82,0.027,0,0.148,0.852,0.023,0
Frmd8,29.1,0.2,0,0,-2.48,-2.48,-2.14,-3.75,0.022,0,0.153,0.847,0.019,0
Tmc4,50.7,129,0,0.1,-11.33,-10.01,-2.23,-3.85,0.019,0,0.158,0.842,0.016,0
Snca,138.5,98.4,0.3,0.3,-7.95,-8.13,-2.18,-3.81,0.02,0,0.159,0.841,0.017,0
Inpp5f,214.5,12.4,0.1,0.2,-6.7,-5.5,-2.2,-3.74,0.022,0,0.167,0.833,0.018,0
Gpbp1,306.6,0.2,0.3,0.1,0.79,-0.89,-1.82,-3.6,0.035,0,0.105,0.895,0.031,0
Cyp3a11,144,0,0.2,0,2.38,0,-1.62,-3.78,0.069,0,0.09,0.91,0.063,0
Aldh5a1,96,1.4,0,0,-4.91,-4.91,-2.23,-3.8,0.023,0,0.164,0.836,0.019,0
Itln1,3.6,0,0.1,0,1.26,0,-1.68,-3.72,0.058,0,0.095,0.905,0.052,0
Zw10,47.7,0.2,0,0,-2.48,-2.48,-2.13,-3.72,0.021,0,0.157,0.843,0.017,0
Cyp2d9,28.7,0.1,0,0,-1.23,-1.23,-2.1,-3.72,0.022,0,0.155,0.845,0.018,0
Dclk1,429,109.8,2.7,0.5,-5.34,-7.58,-2.16,-3.79,0.018,0,0.145,0.855,0.015,0
Gstm6,107.9,0,0.2,0,2.38,0,-1.59,-3.74,0.068,0,0.088,0.912,0.062,0
Dennd1b,58,10.4,0,0.2,-7.71,-5.71,-2.23,-3.75,0.019,0,0.172,0.828,0.016,0
Arhgap1,72.4,20.4,0.1,0,-7.41,-8.67,-2.21,-3.88,0.02,0,0.152,0.848,0.017,0
4930548H24Rik,43.2,0.1,0,0,-1.1,-1.1,-2.08,-3.71,0.023,0,0.147,0.853,0.019,0
Bicd2,143,551.4,0.3,0.2,-10.71,-10.97,-2.19,-3.86,0.021,0,0.149,0.851,0.018,0
Xirp2,13.2,0.1,0,0,-1.72,-1.72,-2.11,-3.71,0.021,0,0.15,0.85,0.018,0
Sin3a,106.9,0.1,0.1,0,0.03,-1.23,-1.9,-3.73,0.033,0,0.117,0.883,0.029,0
Sbds,95.3,91.4,0.1,0,-9.57,-10.84,-2.17,-3.88,0.021,0,0.15,0.85,0.018,0
Ssbp1,74.6,0.1,0.1,0,0.69,-1.23,-1.76,-3.82,0.041,0,0.085,0.915,0.037,0
Gsta2,66.3,24,0.1,0,-6.98,-8.91,-2.17,-3.89,0.018,0,0.145,0.855,0.015,0
E2f4,5.6,0,0.1,0,1.26,0,-1.7,-3.74,0.052,0,0.093,0.907,0.047,0
Cct2,331.2,6.4,0.2,0.2,-4.62,-4.54,-2.18,-3.65,0.018,0,0.164,0.836,0.015,0
Cd79b,22.8,0.1,0.1,0,-0.54,-1.8,-1.88,-3.74,0.026,0,0.107,0.893,0.023,0
Nap1l1,445.2,61.6,0.5,0.2,-6.84,-8.26,-2.15,-3.84,0.02,0,0.144,0.856,0.017,0
Fam21,52.5,0.1,0.1,0,0.03,-1.23,-1.87,-3.77,0.031,0,0.111,0.889,0.028,0
Zfp119b,7,0.1,0,0,-1.23,-1.23,-2.06,-3.74,0.028,0,0.151,0.849,0.024,0
Kcnj15,233,474.8,0.3,0,-10.22,-13.21,-2.21,-3.88,0.021,0,0.158,0.842,0.018,0
Fahd1,17.1,0.5,0,0,-3.56,-3.56,-2.14,-3.75,0.021,0,0.16,0.84,0.018,0
Gm14440,172,55.9,0,0.2,-10.13,-8.13,-2.21,-3.83,0.024,0,0.16,0.84,0.02,0
Mxra8,44.8,0.1,0.2,0,1.15,-1.23,-1.62,-3.81,0.059,0,0.086,0.914,0.054,0
Filip1l,108.8,11.4,0.1,0.4,-6.58,-4.75,-2.23,-3.67,0.018,0,0.182,0.818,0.014,0
Cct6a,291.1,188.8,0.1,0.2,-10.62,-9.42,-2.2,-3.86,0.019,0,0.151,0.849,0.016,0
Erp44,151.3,8,0,0,-7.33,-7.33,-2.23,-3.9,0.019,0,0.159,0.841,0.016,0
5730507C01Rik,6.3,0.2,0,0,-2.33,-2.33,-2.13,-3.76,0.025,0,0.152,0.848,0.022,0
Amot,92.4,12.3,0,0.1,-7.95,-6.62,-2.21,-3.81,0.022,0,0.165,0.835,0.018,0
Tuft1,53.6,0,0.1,0,1.26,0,-1.75,-3.76,0.045,0,0.103,0.897,0.04,0
Prss53,2.8,4.8,0,0,-6.59,-6.59,-2.2,-3.83,0.018,0,0.153,0.847,0.015,0
Pphln1,236.6,14.2,0.1,0.5,-6.9,-4.83,-2.23,-3.66,0.02,0,0.184,0.816,0.017,0
Ccl28,31.4,3.7,0,0,-6.22,-6.22,-2.18,-3.89,0.024,0,0.144,0.856,0.021,0
Zdhhc5,19.8,0.1,0.1,0,0.16,-1.1,-1.83,-3.74,0.034,0,0.109,0.891,0.031,0
Smarcb1,26.2,0.2,0.1,0,-0.89,-2.15,-1.93,-3.79,0.025,0,0.104,0.896,0.022,0
BC100451,71.4,0.1,0.1,0,-0.45,-1.72,-1.92,-3.77,0.027,0,0.117,0.883,0.024,0
Sfrp1,49.2,0.1,0.1,0,0.69,-1.23,-1.73,-3.75,0.041,0,0.092,0.908,0.037,0
Slco5a1,14.9,4.7,0.1,0,-4.64,-6.57,-2.1,-3.88,0.018,0,0.135,0.865,0.016,0
Camsap2,123.8,48.4,0.2,0.2,-7.54,-7.92,-2.21,-3.83,0.018,0,0.148,0.852,0.015,0
Stk3,104.7,0,0.2,0.1,2.38,1.32,-1.73,-3.51,0.047,0,0.113,0.887,0.042,0
Pmch,48.2,3.5,0.2,0,-3.77,-6.14,-2.03,-3.8,0.026,0,0.123,0.877,0.023,0
2700062C07Rik,81.2,6.2,0,0.2,-6.97,-4.51,-2.22,-3.64,0.021,0,0.184,0.816,0.017,0
Sorcs3,19.2,0,0.1,0,1.92,0,-1.56,-3.74,0.076,0,0.082,0.918,0.07,0
Mycn,15.3,0.9,0.1,0,-2.95,-4.21,-2.06,-3.79,0.02,0,0.124,0.876,0.018,0
