prey,Base_diUb4,Vec_diUb4,di4spUb,Enr_diUb4,sEnr_diUb4,p_Bind_diUb4
Hars2,91.9,134,0,-11.39,-7.81,0.006
BC048502,105.5,0.1,0,-1.8,-6.7,0.006
Unc5c,50.1,2.1,0.1,-4.4,-5.74,0.006
Jade3,41.7,2.9,0,-5.86,-7.14,0.006
Alkbh8,4.3,0.5,0,-3.34,-6.83,0.006
Rnf17,51.1,0.2,0,-2.21,-6.63,0.006
Pknox2,102.6,1171.7,0,-14.52,-8.02,0.006
Tmed9,40.5,330.9,0,-12.69,-7.95,0.006
Dydc1,151,0.1,0,-1.88,-6.72,0.006
Zfand1,176.6,1.6,0.1,-3.96,-5.57,0.006
Nsun6,59.5,0.2,0,-2.21,-6.73,0.006
Hmox2,319.1,0.1,0,-1.72,-6.79,0.006
Lrrc48,72.9,0.1,0,-1.8,-6.73,0.006
Taf7l,49.9,0.1,0,-1.88,-6.75,0.006
Dscr3,74.1,742.1,0,-13.86,-8.09,0.006
H2-Q1,2,0.4,0,-3.17,-6.77,0.006
Nsmce2,332.3,0.4,0,-3.15,-6.89,0.006
Ogfod1,58.9,0.6,0,-3.64,-6.79,0.006
2700081O15Rik,55.8,1.4,0.1,-3.79,-5.63,0.006
Dpysl3,132.1,0.4,0,-3.18,-6.89,0.006
Sparc,193.6,0.3,0,-2.75,-6.82,0.006
Stx3,132.1,1.2,0,-4.66,-7.05,0.006
Morc2b,51.9,0.9,0,-4.31,-6.89,0.006
Ubqln1,211.7,57.1,0,-10.16,-7.81,0.006
Ppap2b,20.8,0.4,0,-3.17,-6.69,0.006
Rilp,0.4,30.3,0,-9.24,-7.72,0.006
Tle4,39.1,0.7,0,-3.99,-6.94,0.006
Gm20747,193.9,0.3,0,-2.67,-6.78,0.006
Ncald,130.8,0.1,0,-1.8,-6.73,0.006
Nap1l2,124.6,1045.2,0,-14.35,-8.11,0.006
Nrarp,7.7,0.2,0,-2.15,-6.68,0.006
Sec24a,59.4,1.1,0,-4.48,-6.89,0.006
Sall2,65.4,1.9,0,-5.32,-7.09,0.006
Ndufaf7,96.7,0.3,0,-2.83,-6.78,0.006
Fos,22,0.5,0,-3.32,-6.77,0.006
Dppa4,2.6,13.5,0,-8.08,-7.48,0.006
Elac2,3.3,1,0,-4.35,-6.76,0.006
1700013H16Rik,208.7,0.1,0,-1.72,-6.74,0.006
Ndrg1,357.7,0.2,0,-2.48,-6.82,0.006
Gm14295,182.6,0.8,0,-4.08,-7.05,0.006
Chm,86.3,0.3,0,-2.67,-6.71,0.006
Cnot2,193.8,2.9,0,-5.89,-7.05,0.006
Ctss,282.3,0.3,0,-2.83,-6.99,0.006
Ryr2,50.3,0.3,0,-2.87,-6.82,0.006
Synpo,31.6,0.3,0,-2.95,-6.87,0.006
Gemin4,24.3,0.5,0,-3.55,-6.82,0.006
Sf3b3,141.3,0.1,0,-1.72,-6.69,0.006
6820408C15Rik,17,591.5,0,-13.53,-7.87,0.006
Amigo2,60.3,0.3,0,-2.83,-6.71,0.006
Disp2,58.8,0.3,0,-2.95,-6.9,0.006
Fam71f1,48.3,0.1,0,-1.23,-6.57,0.006
Ifi204,57.9,0.6,0,-3.64,-6.9,0.006
Fktn,28.6,0.2,0,-2.15,-6.65,0.006
Nhp2l1,135.9,465.9,0,-13.19,-7.93,0.006
Fer1l5,19.8,0.5,0,-3.34,-6.84,0.006
Lynx1,39.1,0.1,0,-1.8,-6.65,0.006
Dctn4,152.7,1398,0,-14.77,-8.1,0.006
Golgb1,22.8,0.8,0,-4.13,-6.9,0.006
Aak1,281.5,0.5,0,-3.52,-6.95,0.006
Tppp,137.8,1.3,0,-4.78,-7.11,0.006
Ccl6,121.7,1.4,0.1,-3.83,-5.54,0.006
Ndufaf5,25.6,0.2,0,-2.15,-6.77,0.006
Rreb1,2.8,1.4,0,-4.87,-6.93,0.006
Cnr1,132.7,401.7,0,-12.97,-7.95,0.006
Otulin,40,0.5,0,-3.34,-6.87,0.006
Map6,24.3,0.1,0,-1.88,-6.65,0.006
2700060E02Rik,78.3,0.3,0,-2.67,-6.74,0.006
Anxa1,547.7,0.5,0,-3.37,-6.97,0.006
Vim,117.1,0.6,0,-3.71,-6.81,0.006
Cgnl1,176,15.4,0,-8.27,-7.42,0.006
Oxa1l,47.3,0.4,0,-3.17,-6.9,0.006
Ms4a6d,78.1,0.3,0,-2.79,-6.9,0.006
Zfp592,55.6,0.6,0,-3.64,-6.87,0.006
Tor1aip1,404.1,189.1,0,-11.89,-7.96,0.006
Pex3,280.2,0.2,0,-2.21,-6.82,0.006
Cstb,20.6,244.8,0,-12.26,-7.85,0.006
Cnnm3,26.8,0.2,0,-2.48,-6.75,0.006
Ncbp1,168.3,0.2,0,-2.53,-6.74,0.006
Tub,68.7,294.4,0,-12.52,-7.91,0.006
Casp12,76.1,0.7,0,-3.99,-6.93,0.006
Rab3d,15.6,0.2,0,-2.48,-6.64,0.006
Serhl,18.2,3.4,0,-6.09,-7.19,0.006
Sh3d21,41.2,0.1,0,-1.1,-6.69,0.006
Gemin5,12.4,0.5,0,-3.37,-6.81,0.006
Tgtp1,296.4,0.1,0,-1.8,-6.73,0.006
Atp5o,36.7,507.1,0,-13.31,-7.9,0.006
Rspo2,13.1,0.2,0,-2.21,-6.67,0.006
Gm9992,4.1,0.9,0,-4.21,-7.06,0.006
Champ1,57.1,0.5,0,-3.52,-6.88,0.006
Dmbt1,10.9,0.1,0,-1.72,-6.56,0.006
Cox7b,63.4,0.1,0,-1.8,-6.6,0.006
Lmbrd1,125.2,1.6,0.1,-4,-5.66,0.006
Trmt112,10.1,0.1,0,-1.23,-6.71,0.006
Seh1l,257.3,6.4,0.2,-4.95,-5.6,0.006
Asxl2,38.7,15.7,0,-8.3,-7.3,0.006
Ndufv2,89.5,0.1,0,-1.23,-6.61,0.006
Angpt1,90.4,250.6,0,-12.29,-7.93,0.006
Lepr,16.6,215.2,0,-12.07,-7.83,0.006
Stk33,137.4,3.4,0,-6.1,-7.15,0.006
Hiatl1,146.7,0.1,0,-1.8,-6.72,0.006
Cr1l,215.6,0.3,0,-2.95,-6.88,0.006
Mrm1,31.9,54,0,-10.08,-7.63,0.006
Ermard,263.3,122.9,0,-11.26,-7.86,0.006
Arf6,139.2,4305.6,0,-16.39,-8.02,0.006
Erbb2ip,327.4,1.2,0.1,-3.65,-5.69,0.006
Gm14326,46.5,2.8,0.1,-4.79,-5.85,0.006
Tpgs2,121.6,0.6,0,-3.78,-6.93,0.006
Prss8,23.2,1.8,0,-5.24,-7.16,0.006
Emg1,49.1,63.7,0,-10.32,-7.69,0.006
Mfap1a,95.9,0.3,0,-2.75,-6.82,0.006
Bmp3,0.7,1.1,0,-4.56,-7.05,0.006
Fbxo8,139.6,0.1,0,-1.8,-6.84,0.006
Dctn6,99.4,0.7,0,-3.98,-6.86,0.006
Tnnt3,10.3,0.6,0,-3.71,-6.92,0.006
Rab38,8.8,0.3,0,-2.97,-6.83,0.006
Nkiras1,174.6,4.1,0,-6.36,-7.24,0.006
Jun,7.4,0.2,0,-2.48,-6.6,0.006
Ly6c1,141.7,0.1,0,-1.8,-6.77,0.006
Ccdc67,144,2.4,0.1,-4.58,-5.87,0.006
Abat,392.8,0.6,0,-3.78,-6.98,0.006
Shc1,40.1,452,0,-13.14,-7.95,0.006
Col28a1,0.6,221.9,0,-12.12,-7.83,0.006
Larp4b,77.9,1330.9,0,-14.7,-8.05,0.006
Zfp575,13.1,0.9,0,-4.18,-6.9,0.006
Srsf11,224.2,1.6,0,-5.06,-7.04,0.006
Fads3,79.6,2,0.1,-4.32,-5.67,0.006
Arfgef2,86.5,0.2,0,-2.53,-6.88,0.006
Spint1,51.4,0.6,0,-3.71,-6.89,0.006
Atf3,84.8,0.4,0,-3.18,-6.87,0.006
Adam24,70.5,0.2,0,-2.15,-6.74,0.006
Hmgn3,69.6,211.7,0,-12.05,-7.85,0.006
Uhrf1,4.8,1.1,0,-4.58,-6.94,0.006
Aven,219.3,0.2,0,-2.15,-6.71,0.006
Pdha1,346.9,1226.5,0,-14.58,-8.04,0.006
Cst8,51,465.1,0,-13.18,-8.08,0.006
Plcl1,19.6,2.6,0,-5.7,-7.13,0.006
D630045J12Rik,77.5,0.1,0,-1.72,-6.74,0.006
Lipa,107.8,3.9,0.1,-5.26,-6.02,0.006
Thap2,4.7,0.3,0,-2.75,-6.65,0.006
Prmt3,83.4,952.3,0,-14.22,-7.94,0.006
Srrm1,83.1,1.7,0.1,-4.11,-5.64,0.006
Top2b,252.1,1314.7,0,-14.68,-8.03,0.006
Sfr1,164.7,0.3,0,-2.83,-6.77,0.006
Epha5,10.4,0.3,0,-2.67,-6.67,0.006
Nipsnap1,140.7,0.8,0,-4.12,-6.93,0.006
Diablo,136.6,0.1,0,-1.72,-6.71,0.006
Sdhd,56.5,1.1,0,-4.51,-6.97,0.006
Ubap1,60.6,0.2,0,-2.27,-6.75,0.006
Zranb2,403.4,2.2,0.1,-4.47,-5.85,0.006
Zzef1,8.9,347.4,0,-12.76,-7.96,0.006
Rassf6,23.7,1.1,0,-4.58,-6.96,0.006
Utp15,58.1,130.8,0,-11.35,-7.73,0.006
Klhdc9,5.9,10.1,0,-7.66,-7.37,0.006
Gm608,149.3,0.1,0,-1.88,-6.81,0.006
Bend4,5.6,2.2,0,-5.46,-7.19,0.006
Fabp4,78.7,581.8,0,-13.51,-7.92,0.006
Hsd17b10,106.5,0.2,0,-2.53,-6.72,0.006
Mllt4,281.7,1.7,0.1,-4.09,-5.74,0.006
Ccdc175,94.2,0.2,0,-2.21,-6.73,0.006
Zfp738,19.5,0.3,0,-2.91,-6.75,0.006
Topaz1,25.5,10.1,0,-7.67,-7.31,0.006
Prpf8,121.9,0.2,0,-2.15,-6.69,0.006
2510009E07Rik,69.4,0.2,0,-2.15,-6.64,0.006
Ccnd1,14.4,2.6,0,-5.71,-7.09,0.006
Tapbpl,0.3,0.5,0,-3.34,-6.73,0.006
Cxadr,77.5,0.1,0,-1.8,-6.66,0.006
Cfap126,82.4,34.6,0,-9.44,-7.58,0.006
Scgb3a2,46.7,0.2,0,-2.27,-6.67,0.006
Krr1,145.2,0.4,0,-3.2,-6.84,0.006
Rnf121,68.6,0.3,0,-2.87,-6.81,0.006
Prickle2,126,0.5,0,-3.52,-6.93,0.006
Lrriq3,119.3,1.2,0,-4.66,-7.09,0.006
Cox15,13.7,101.2,0,-10.98,-7.73,0.006
Olfml3,55.9,1.4,0,-4.83,-6.97,0.006
Tgfbr2,394.3,0.6,0,-3.68,-7.01,0.006
Ndc1,19,0.9,0,-4.21,-6.95,0.006
Tmem261,1,0.9,0,-4.18,-6.88,0.006
Lrp1b,0.7,0.5,0,-3.34,-6.71,0.006
Ccdc55,191.1,0.2,0,-2.15,-6.84,0.006
Akap9,113.2,1.6,0,-5,-7.06,0.006
Ly6a,206.9,0.4,0,-3.15,-6.89,0.006
Aldh5a1,101.9,1.4,0,-4.91,-7.07,0.006
Asb3,62.8,0.1,0,-1.8,-6.78,0.006
Prps1,266.1,0.3,0,-2.63,-6.78,0.006
Rsu1,187.3,0.1,0,-1.1,-6.74,0.006
Loxl3,11.7,31.6,0,-9.31,-7.6,0.006
Scfd1,131.9,0.2,0,-2.21,-6.87,0.006
Usp8,299.2,0.4,0,-3.18,-6.88,0.006
Cmpk2,90,0.8,0,-4.09,-6.88,0.006
Cyp4a31,15.3,1.6,0,-5.01,-7.18,0.006
Ttyh1,66.2,725.9,0,-13.83,-7.93,0.006
Pgam5,82.1,0.4,0,-3.2,-6.82,0.006
Clec2i,1.6,3.1,0,-6,-7.15,0.006
Smarca2,156.1,0.3,0,-2.79,-6.81,0.006
Aadat,142.3,0.2,0,-2.15,-6.77,0.006
Snx2,208.9,0.3,0,-2.79,-6.89,0.006
Perp,239.2,7.7,0.2,-4.89,-5.44,0.006
Mturn,202.2,0.5,0,-3.34,-6.9,0.006
Serf1,6,3.5,0,-6.14,-7.15,0.006
Pik3r3,139.2,0.2,0,-2.15,-6.77,0.006
Xlr3b,37.3,1.3,0,-4.75,-7,0.006
Arhgef26,134.8,0.2,0,-2.33,-6.81,0.006
Gm10922,128,1,0.1,-3.37,-5.56,0.006
4930444G20Rik,8.3,1.3,0,-4.72,-6.98,0.006
Anxa3,216.1,0.2,0,-2.53,-6.88,0.006
Cnp,59.7,3.8,0,-6.27,-7.19,0.006
Celf1,298,60.1,0,-10.23,-7.67,0.006
Plekha2,45.1,1.1,0,-4.53,-6.95,0.006
Dnajc3,331,0.5,0,-3.4,-6.87,0.006
Uso1,162.8,0.4,0,-3.08,-6.89,0.006
Tmem59,338.6,0.1,0,-1.8,-6.78,0.006
Gc,86,0.3,0,-2.97,-6.86,0.006
Ap3b1,153.3,4152,0.1,-15.3,-7.89,0.006
2900092C05Rik,211.2,0.2,0,-2.27,-6.78,0.006
Aatf,65.7,0.2,0,-2.53,-6.62,0.006
Oxct2a,3.8,1,0,-4.43,-6.91,0.006
Srsf4,1.4,2.7,0,-5.78,-6.88,0.006
Gcdh,126.5,0.1,0,-1.8,-6.69,0.006
Plscr3,34.7,0.4,0,-3.2,-6.84,0.006
Lrp12,34.8,0.7,0,-3.88,-6.93,0.006
Dgke,35.5,0.1,0,-1.23,-6.54,0.006
Pcdh19,75.7,0.1,0,-1.1,-6.65,0.006
Olfr287,1.3,1.8,0,-5.22,-6.92,0.006
Rer1,24.4,3,0,-5.92,-7.12,0.006
Trim36,207.7,1.4,0.1,-3.83,-5.59,0.006
Synj2bp,344.6,1.4,0.1,-3.79,-5.73,0.006
Pyroxd1,75.1,0.1,0,-1.23,-6.69,0.006
Ddi1,363.5,5.3,0.2,-4.35,-5.3,0.006
Serpina1d,48.4,0.3,0,-2.75,-6.78,0.006
Col4a3,191.4,0.2,0,-2.53,-6.78,0.006
Leprot,90.4,65,0,-10.34,-7.7,0.006
Kif5b,187.5,84.4,0,-10.72,-7.72,0.006
Xrcc4,235.4,1.4,0.1,-3.85,-5.68,0.006
Ccbl2,120.3,0.3,0,-2.63,-6.79,0.006
Gtpbp4,144.6,165.1,0,-11.69,-7.83,0.006
Adipoq,45.7,1.8,0,-5.19,-7,0.006
Cth,176.2,0.1,0,-1.72,-6.69,0.006
Urb1,1.3,0.1,0,-1.72,-6.83,0.006
Baz1a,119.9,0.2,0,-2.58,-6.84,0.006
Zfp346,84.2,738.9,0,-13.85,-8.13,0.006
Ngly1,160.6,3541.7,0,-16.11,-8.07,0.006
Cyp24a1,78.5,0.1,0,-1.1,-6.68,0.006
Rpp14,97.4,0.4,0,-3.2,-6.95,0.006
Mest,48.7,36,0,-9.49,-7.61,0.006
Map1b,24.4,918.3,0,-14.16,-7.99,0.006
Prkag1,5.4,1.5,0,-4.93,-6.96,0.006
Dnajb13,136.9,3.9,0,-6.3,-7.2,0.006
Fam172a,146.5,1.2,0,-4.67,-7.08,0.006
Mapk10,68.1,67.4,0,-10.4,-7.74,0.006
Dpy19l1,72.3,0.5,0,-3.52,-6.84,0.006
Fahd1,18.3,0.5,0,-3.56,-6.81,0.006
Azin1,327.6,2134.1,0.1,-14.34,-7.82,0.006
Cox20,57.3,171.7,0,-11.75,-7.97,0.006
Trmt10b,147.2,0.4,0,-3.2,-6.96,0.006
Cyth3,211.7,0.4,0,-3.15,-6.91,0.006
Fcgr2b,37.1,232.6,0,-12.18,-7.89,0.006
Pom121,10.3,8.4,0,-7.4,-7.28,0.006
Tsc22d3,72.2,1,0,-4.4,-7,0.006
Trmt1l,117.8,2.1,0,-5.44,-7.08,0.006
Sgpl1,282.2,1.1,0,-4.51,-7.04,0.006
42437,265.2,1.5,0,-4.95,-7.05,0.006
Dnajb9,88,0.4,0,-3.15,-6.78,0.006
Fert2,59.5,0.2,0,-2.21,-6.8,0.006
Nkrf,46.4,0.7,0,-3.88,-6.94,0.006
Atp6ap1,156.4,0.8,0,-4.01,-6.89,0.006
Fli1,11.7,2.3,0,-5.55,-7.04,0.006
Cdc42ep3,38.4,222.4,0,-12.12,-8,0.006
Nav1,110.6,0.3,0,-2.95,-6.75,0.006
Klhdc1,20.8,2.5,0,-5.69,-7.05,0.006
Myo3b,25.1,0.8,0,-4.09,-6.97,0.006
Arhgef12,55.1,0.6,0,-3.76,-6.89,0.006
Tbc1d23,360.5,0.4,0,-3.01,-6.92,0.006
Tmem252,35.3,60,0,-10.23,-7.76,0.006
Mien1,19.6,1.3,0,-4.75,-7.02,0.006
H2-Ab1,13.7,0.5,0,-3.56,-6.7,0.006
Mettl16,45.6,1.1,0,-4.49,-6.95,0.006
4930579F01Rik,118.5,0.2,0,-2.21,-6.79,0.006
Trmt6,119.1,0.2,0,-2.53,-6.8,0.006
Isg20l2,46.6,0.6,0,-3.7,-6.86,0.006
Wbp11,36.5,0.2,0,-2.48,-6.78,0.006
Eml1,94.1,0.3,0,-2.75,-6.79,0.006
Rtf1,86.3,0.5,0,-3.56,-6.84,0.006
Fam149b,24,13.9,0,-8.13,-7.47,0.006
Ccdc88a,135.3,158.2,0,-11.63,-7.8,0.006
Slc12a1,288.5,0.8,0,-4.14,-6.91,0.006
Dmrt1,3.4,0.9,0,-4.27,-6.9,0.006
Csf1r,3.7,0.2,0,-2.15,-6.75,0.006
Sult3a1,0.5,4.5,0,-6.49,-7.16,0.006
Fcho2,112.1,772.5,0,-13.92,-7.91,0.006
Lyzl6,124.5,59.1,1.6,-5.18,-5.31,0.006
Prob1,15.5,1,0,-4.4,-7.01,0.006
Gm14374,104.1,0.6,0,-3.64,-6.93,0.006
Olfr301,1.3,1.1,0,-4.49,-7.04,0.006
Fibin,70,0.2,0,-2.15,-6.73,0.006
Fdft1,242.9,118.1,0,-11.21,-7.77,0.006
Aqr,29,0.6,0,-3.64,-6.88,0.006
Elovl2,155.2,1.9,0.1,-4.28,-5.77,0.006
Gnb2l1,109.9,6.9,0.2,-5.06,-5.52,0.006
Aph1a,46.3,11.8,0,-7.89,-7.32,0.006
Pax6,10.1,1.2,0.1,-3.6,-5.46,0.006
Dnm1l,214.7,1.5,0.1,-3.91,-5.72,0.006
Gm20809,254.5,0.7,0,-3.85,-6.95,0.006
Ttc30a2,82,0.2,0,-2.53,-6.75,0.006
Snrpf,19,70.9,0,-10.47,-7.62,0.006
Phip,113,4.3,0,-6.44,-7.21,0.006
Serinc3,239.3,3.5,0.1,-5.11,-6.03,0.006
Neo1,111.7,244.3,0,-12.25,-7.84,0.006
Ppp1r9a,78.2,1,0,-4.35,-7.01,0.006
Rpl3,129.8,1.3,0,-4.79,-7.09,0.006
Eif1a,278.4,52.2,0,-10.03,-7.62,0.006
Kdm3a,108.3,0.2,0,-2.15,-6.76,0.006
Ganc,14.9,0.7,0,-3.85,-6.72,0.006
Echdc1,169.4,0.2,0,-2.27,-6.72,0.006
Tyw5,136.4,8.6,0,-7.43,-7.23,0.006
Ednra,42.7,7.8,0,-7.29,-7.36,0.006
Unc80,193.2,2.1,0.1,-4.35,-5.75,0.006
Uqcrb,33.6,0.3,0,-2.75,-6.85,0.006
Dnajc4,2.5,2.5,0,-5.67,-7.11,0.006
Nup50,127.3,1.8,0.1,-4.15,-5.7,0.006
Tm9sf3,641,13.3,0.4,-4.82,-5.42,0.006
Rassf4,66.9,0.3,0,-2.75,-6.78,0.006
Nfkbiz,85.2,0.5,0,-3.51,-6.91,0.006
Rps4x,193.6,0.4,0,-3.12,-6.86,0.006
Adam1a,41.2,0.7,0,-3.85,-6.89,0.006
Cpxm1,6.3,24.9,0,-8.96,-7.64,0.006
Fbxw2,132.8,0.7,0,-3.9,-6.96,0.006
Mecom,105.6,0.1,0,-1.23,-6.63,0.006
Actr2,191.3,154.1,0,-11.59,-7.83,0.006
Car12,24.9,41.5,0,-9.7,-7.79,0.006
Tagln2,41.8,1,0,-4.35,-6.86,0.006
Clasp1,4.7,0.5,0,-3.34,-6.86,0.006
Arrdc4,66.9,0.8,0,-4.06,-6.94,0.006
Rbm4b,105.5,1.3,0.1,-3.73,-5.6,0.006
Ergic3,49,1.4,0,-4.83,-7.01,0.006
Nsa2,481.6,1.9,0.1,-4.25,-5.81,0.006
Gm2933,217,1.4,0,-4.87,-7.19,0.006
Atp6v1c1,155.9,0.3,0,-2.79,-6.89,0.006
Casq1,8.7,2121.7,0,-15.37,-8.02,0.006
Cdip1,311.7,5.9,0.2,-4.85,-5.47,0.006
Foxp2,69.5,0.7,0,-3.99,-6.97,0.006
Ckb,15.9,0.9,0,-4.29,-6.99,0.006
Cse1l,341.3,0.2,0,-2.53,-6.79,0.006
Nck1,237,0.2,0,-2.53,-6.72,0.006
Plcg1,9.3,546,0,-13.41,-7.99,0.006
Fam71f2,167.7,40.3,0,-9.66,-7.7,0.006
Mrvi1,182.9,1.5,0,-4.94,-7.03,0.006
Casp4,55.3,0.1,0,-1.8,-6.58,0.006
Inadl,91.3,0.5,0,-3.34,-6.82,0.006
1700021K19Rik,46.3,88.8,0,-10.8,-7.73,0.006
Kif21a,123.4,0.5,0,-3.37,-6.86,0.006
Cfap52,47.8,0.1,0,-1.8,-6.71,0.006
Ndst3,41.8,0.3,0,-2.97,-6.82,0.006
Hspa1a,12.1,0.9,0,-4.18,-6.84,0.006
Siae,94,0.9,0,-4.2,-7.01,0.006
Gm13139,98.2,0.4,0,-3.18,-6.87,0.006
Hsd17b12,270.3,3.5,0.1,-5.11,-5.99,0.006
Lsm6,86.5,0.2,0,-2.27,-6.73,0.006
1700057G04Rik,246.9,0.1,0,-1.8,-6.71,0.006
Atp5f1,139,0.8,0,-4.06,-6.97,0.006
Lmbrd2,40,1.4,0,-4.89,-7.08,0.006
Vsig2,7.5,0.6,0,-3.7,-6.79,0.006
Ergic2,526.4,10.6,0.3,-5.08,-5.59,0.006
Ikbkb,65.5,0.9,0,-4.28,-6.91,0.006
Col6a5,4.2,0.4,0,-3.17,-6.74,0.006
Zfp354c,25.3,1.4,0,-4.87,-7,0.006
Mex3c,112.6,49.4,0,-9.95,-7.66,0.006
Ptprg,117.5,0.6,0,-3.76,-6.95,0.006
Rpl13a,40.8,1,0,-4.44,-6.93,0.006
Fkbp3,113.6,294.2,8.6,-5.09,-5.18,0.006
Sp140,43.6,2.7,0,-5.77,-7.01,0.006
Homez,72.4,590.7,0,-13.53,-7.9,0.006
Nono,293.2,0.5,0,-3.52,-6.95,0.006
Raf1,44.8,1,0,-4.43,-6.99,0.006
Zbtb11,33.3,123.1,0,-11.27,-7.79,0.006
Lrrc57,91.8,221.1,0,-12.11,-7.85,0.006
Ankrd46,205.1,0.2,0,-2.53,-6.84,0.006
Ttl,76.5,2,0,-5.37,-7.1,0.006
Tmem190,16.1,2.3,0,-5.52,-7.1,0.006
Msh6,101.7,1.8,0,-5.19,-7.06,0.006
Magi2,113.9,1326.6,0,-14.7,-7.91,0.006
Msi2,7.8,475.2,0,-13.21,-7.95,0.006
Exoc2,62.1,40.5,0,-9.66,-7.6,0.006
Alms1,70.7,1.3,0,-4.71,-7.01,0.006
Glipr1,96.4,0.5,0,-3.37,-6.85,0.006
Dmxl2,196.8,0.1,0,-1.23,-6.69,0.006
Dph3,83.2,0.6,0,-3.78,-6.92,0.006
BC049715,70.8,0.2,0,-2.27,-6.72,0.006
Mrps23,6.4,1.1,0,-4.58,-6.92,0.006
Mxd1,41.6,2,0,-5.37,-7.02,0.006
Phb,19.5,73.5,0,-10.52,-7.7,0.006
Nr2f2,90.8,0.1,0,-1.8,-6.74,0.006
Mrpl20,9.9,1.2,0,-4.66,-7,0.006
Zmym2,202.3,118.8,0,-11.22,-7.76,0.006
Nudt19,160.7,430.5,0,-13.07,-7.93,0.006
Kcnk5,3.7,112.5,0,-11.14,-7.88,0.006
Brd2,33.3,30.5,0,-9.25,-7.58,0.006
Ncl,91.7,6.3,0,-6.99,-7.26,0.006
Scd1,356.6,3.6,0,-6.2,-7.21,0.006
Fam212b,40.5,0.3,0,-2.79,-6.82,0.006
Snrpn,4.2,1.3,0,-4.73,-6.8,0.006
As3mt,218.6,344.7,0,-12.75,-7.87,0.006
Zcchc6,188.3,163.3,0,-11.67,-7.9,0.006
Ltn1,153.3,2.5,0,-5.68,-7.24,0.006
Pole4,66.5,4,0,-6.34,-7.31,0.006
4932438A13Rik,233.2,0.3,0,-2.63,-6.76,0.006
Hspe1,73,0.7,0,-3.85,-6.83,0.006
Hnrnpul2,298.7,1.6,0.1,-3.97,-5.77,0.006
Kras,208.9,5,0,-6.65,-7.29,0.006
Sh3bgrl2,92.8,3.7,0,-6.24,-7.21,0.006
4930579G24Rik,2.9,431.5,0,-13.08,-8.12,0.006
Mbnl1,223.9,1450.9,0,-14.82,-8.07,0.006
Cnn1,1.8,3.7,0,-6.23,-7.09,0.006
Clock,136.9,1.5,0,-4.97,-7.17,0.006
Sec23a,187.9,0.3,0,-2.87,-6.88,0.006
Rbfox1,145.5,4.6,0,-6.54,-7.27,0.006
Rab3c,18.1,1.7,0,-5.1,-6.96,0.006
Eif3e,535.6,1.4,0.1,-3.78,-5.81,0.006
Pde3b,67.3,69.1,0,-10.43,-7.68,0.006
Apeh,26.1,1.1,0,-4.58,-6.93,0.006
Npepps,55.2,22.8,0,-8.84,-7.46,0.006
Zfp26,74.4,37.8,0,-9.56,-7.66,0.006
Bnip2,108.6,1.3,0,-4.72,-6.97,0.006
Apbb2,81.4,127,0,-11.31,-7.71,0.006
Kcnc2,73.4,0.2,0,-2.15,-6.77,0.006
Ptrhd1,8.7,0.5,0,-3.34,-6.86,0.006
1600012H06Rik,150.8,17.5,0,-8.45,-7.54,0.006
Zfp558,84.5,1368.8,0.1,-13.7,-7.71,0.006
Snca,159,98.4,0,-10.94,-7.75,0.006
Gbp9,52.2,0.9,0,-4.3,-6.91,0.006
Ccdc15,61.9,109,0,-11.09,-7.79,0.006
Zfp41,38.2,188.7,0,-11.88,-7.87,0.006
Ddx25,169.7,0.5,0,-3.51,-6.9,0.006
Angpt2,41.3,0.7,0,-3.96,-6.9,0.006
Rrp7a,24.9,66.7,0,-10.38,-7.72,0.006
Pnisr,196.8,1111,0,-14.44,-8.01,0.006
Snx19,138.6,549.5,0,-13.42,-7.96,0.006
Adam2,212.6,0.1,0,-1.72,-6.74,0.006
Nupl1,54.5,1.8,0,-5.23,-6.98,0.006
Slc5a9,30.1,71.3,0,-10.48,-7.73,0.006
Nedd4,551.1,6.9,0.2,-4.73,-5.53,0.006
Ppp2r2d,106.2,2.9,0,-5.86,-7.09,0.006
Gabarapl2,142.4,2.3,0,-5.56,-7.06,0.006
Glod4,107.3,928.4,0.1,-13.14,-7.73,0.006
Apool,159.7,0.3,0,-2.67,-6.8,0.006
Calr3,128.7,0.4,0,-3.01,-6.92,0.006
Abcb7,117.5,0.8,0,-4.1,-7,0.006
Ddhd1,286.9,236.1,0,-12.21,-7.91,0.006
Dhx33,43.4,287.7,0,-12.49,-7.87,0.006
D6Wsu163e,36.3,105.2,0,-11.04,-7.72,0.006
Copb1,125.2,52.9,0,-10.05,-7.67,0.006
Dph5,106.6,498.4,0,-13.28,-7.91,0.006
Fbxl3,191.8,1.2,0,-4.66,-7.03,0.006
Tpmt,405.8,6.3,0.2,-4.93,-5.58,0.006
Myo5a,247,1,0.1,-3.33,-5.55,0.006
Ube2l3,75.2,631.3,0,-13.62,-8.03,0.006
Cep76,35.2,1.5,0,-4.96,-6.96,0.006
Dynlt1c,18.2,0.9,0,-4.27,-6.94,0.006
Nsun7,94.2,0.5,0,-3.52,-6.85,0.006
Xrcc5,63.6,0.1,0,-1.23,-6.64,0.006
Il1b,53.5,194.6,0,-11.93,-7.83,0.006
Zfp449,17.3,94.5,0,-10.89,-7.86,0.006
Lgals3,2.8,2.4,0,-5.63,-6.97,0.006
Mmd2,61.4,0.9,0,-4.19,-6.95,0.006
